Sl.No,Skill set,google_palm_response,google_palm_response_cleaned,Experience,google_palm_response_experience
0,"Frontend : HTML, CSS, Bootstrap, JavaScript, React.jsBackend : Python, Express.js, Node.jsDatabases : SQLite BAckend :Nav Forces","```python
frontend_skills = [""HTML"", ""CSS"", ""Bootstrap"", ""JavaScript"", ""React.js""]
backend_skills = [""Python"", ""Express.js"", ""Node.js""]
database_skills = [""SQLite""]

skills = frontend_skills + backend_skills + database_skills

print(skills)
```

```
['HTML', 'CSS', 'Bootstrap', 'JavaScript', 'React.js', 'Python', 'Express.js', 'Node.js', 'SQLite']
```","['html', 'css', 'bootstrap', 'javascript', 'react.js']","1yr of Frontend Developer in IGO Technologies,as of now learning skill set programs.",1.0
1,"React js ,Node js ,TypeScript , Redux , Express Js ,MongoDb ,Socket.io ,JWT ,Cloudinary ,Mongoose ,Axios , AWS S3 ,AWSEC2 ,AWS Route 53, Ngnix, Certbot, Nodemailer","```python
skills = [
    ""React.js"",
    ""Node.js"",
    ""TypeScript"",
    ""Redux"",
    ""Express.js"",
    ""MongoDB"",
    ""Socket.io"",
    ""JSON Web Token (JWT)"",
    ""Cloudinary"",
    ""Mongoose"",
    ""Axios"",
    ""Amazon Simple Storage Service (S3)"",
    ""Amazon Elastic Compute Cloud (EC2)"",
    ""Amazon Route 53"",
    ""Nginx"",
    ""Certbot"",
    ""Nodemailer"",
]
```","['react.js', 'node.js', 'typescript', 'redux', 'express.js', 'mongodb', 'socket.io', 'json web token (jwt)', 'cloudinary', 'mongoose', 'axios', 'amazon simple storage service (s3)', 'amazon elastic compute cloud (ec2)', 'amazon route 53', 'nginx', 'certbot', 'nodemailer']","Completed +2,and working as a trainee in prototype project.Currently Working",0.5
2,"Front End: React Js, Next Js, Javascript ES6, TailwindCSS, Material UI, CSS, HTML5, Bootstrap,Axios, HBS, Chart.js, Redux Toolkit, JQuery. Back End: Node Js, Express Js, MongoDB,Atlas, Mongoose, JWT, NPM, REST API,Socket io.","```python
front_end_skills = [
    ""React Js"",
    ""Next Js"",
    ""Javascript ES6"",
    ""TailwindCSS"",
    ""Material UI"",
    ""CSS"",
    ""HTML5"",
    ""Bootstrap"",
    ""Axios"",
    ""HBS"",
    ""Chart.js"",
    ""Redux Toolkit"",
    ""JQuery"",
]

back_end_skills = [
    ""Node Js"",
    ""Express Js"",
    ""MongoDB"",
    ""Atlas"",
    ""Mongoose"",
    ""JWT"",
    ""NPM"",
    ""REST API"",
    ""Socket io"",
]

skills = front_end_skills + back_end_skills
```","['react js', 'next js', 'javascript es6', 'tailwindcss', 'material ui', 'css', 'html5', 'bootstrap', 'axios', 'hbs', 'chart.js', 'redux toolkit', 'jquery']","8 month Trainee in Prototype, done 2 projects: E-commerce,Jackpot.currently working,also well at java scripts",0.75
3,"Frontend: HTML, CSS, Javascript, React.Js,Redux,OOPs, Node.Js Frame Work:Material UI, Bootstrap, NextJsDatabase : MongoDB.Software Skills:VS COde,NPM,Git,Firebase,Netlify,Vercel.","```python
frontend_skills = [""HTML"", ""CSS"", ""JavaScript"", ""React.js"", ""Redux"", ""OOPs"", ""Node.js""]
framework_skills = [""Material UI"", ""Bootstrap"", ""Next.js""]
database_skills = [""MongoDB""]
software_skills = [""VS Code"", ""NPM"", ""Git"", ""Firebase"", ""Netlify"", ""Vercel""]

skills = frontend_skills + framework_skills + database_skills + software_skills

print(skills)
```

```
['HTML', 'CSS', 'JavaScript', 'React.js', 'Redux', 'OOPs', 'Node.js', 'Material UI', 'Bootstrap', 'Next.js', 'MongoDB', 'VS Code', 'NPM', 'Git', 'Firebase', 'Netlify', 'Vercel']
```","['html', 'css', 'javascript', 'react.js', 'redux', 'oops', 'node.js']",,0
4,"HTML CSS Javascript React ReduxTailwind Node/Express Linux Mongodb,MySQL Postgresql NextJs Git, GitHub,API","```python
skills = [
    ""HTML"",
    ""CSS"",
    ""JavaScript"",
    ""React"",
    ""Redux"",
    ""Tailwind"",
    ""Node/Express"",
    ""Linux"",
    ""MongoDB"",
    ""MySQL"",
    ""PostgreSQL"",
    ""Next.js"",
    ""Git"",
    ""GitHub"",
    ""API"",
]
```","['html', 'css', 'javascript', 'react', 'redux', 'tailwind', 'node/express', 'linux', 'mongodb', 'mysql', 'postgresql', 'next.js', 'git', 'github', 'api']","Fresher, end of the April will Complete his Graduation,Has Knowledge in Both Frontend And Backend",0.0
5,Node js | Express | Mongo DB | Javascript | Html | EJS | CSS |Bootstrap | Ajax | API integrations for online payment (Stripe) |Nginx | AWS,"```python
skills = [
    ""Node.js"",
    ""Express"",
    ""MongoDB"",
    ""JavaScript"",
    ""HTML"",
    ""EJS"",
    ""CSS"",
    ""Bootstrap"",
    ""Ajax"",
    ""API integrations for online payment (Stripe)"",
    ""Nginx"",
    ""AWS"",
]
```","['node.js', 'express', 'mongodb', 'javascript', 'html', 'ejs', 'css', 'bootstrap', 'ajax', 'api integrations for online payment (stripe)', 'nginx', 'aws']","9+ months has experience in MERN,7 months worked as a trainee in prototype,now currently Working on his brother 's project(Marketing) using Mern.",1.57
6,"Front end:Html,CSS,BootStrap,Java Script,React js,Redux BAck end: Node js,Express js, Mongo DD,MySql,MVC","```python
front_end = [""HTML"", ""CSS"", ""Bootstrap"", ""JavaScript"", ""React"", ""Redux""]
back_end = [""Node.js"", ""Express.js"", ""MongoDB"", ""MySQL"", ""MVC""]

skills = front_end + back_end
```","['html', 'css', 'bootstrap', 'javascript', 'react', 'redux']","Fresher,Currently working as Intern in Skills Academy",0.5
7,HTML | CSS | JavaScript |ReactJs | NextJs | TypeScript |NodeJs | MongoDB | ExpressJs |Mongoose | Cypress | Git |Redux | Postman | Json-server |JWT | Authentication,"```python
skills = [
    ""HTML"",
    ""CSS"",
    ""JavaScript"",
    ""ReactJS"",
    ""NextJS"",
    ""TypeScript"",
    ""NodeJS"",
    ""MongoDB"",
    ""ExpressJS"",
    ""Mongoose"",
    ""Cypress"",
    ""Git"",
    ""Redux"",
    ""Postman"",
    ""Json-server"",
    ""JWT"",
    ""Authentication"",
]
```","['html', 'css', 'javascript', 'reactjs', 'nextjs', 'typescript', 'nodejs', 'mongodb', 'expressjs', 'mongoose', 'cypress', 'git', 'redux', 'postman', 'json-server', 'jwt', 'authentication']","Fresher,no intern experience",0.0
8,"Frontend:React Js,HTML,CSS,Bootstrap,MUITailwind ,CSS.
Backend:Node Js,Express Js,Database,MongoDB,MySql.
Languages:JavaScript,TypeScript,Java,C,C++,Python.
Others:AWS,Git & GitHub,NginX,Figma","```python
skills = [
    ""Frontend: React Js, HTML, CSS, Bootstrap, MUI, Tailwind, CSS"",
    ""Backend: Node Js, Express Js, Database, MongoDB, MySql"",
    ""Languages: JavaScript, TypeScript, Java, C, C++, Python"",
    ""Others: AWS, Git & GitHub, NginX, Figma"",
]
```","['frontend: react js', 'html', 'css', 'bootstrap', 'mui', 'tailwind', 'css', 'backend: node js', 'express js', 'database', 'mongodb', 'mysql', 'languages: javascript', 'typescript', 'java', 'c', 'c++', 'python', 'others: aws', 'git', 'github', 'nginx', 'figma']","Fresher,9 months internship done in Prototype",0.75
9,"front end: React.js , Redux , html,Javascript and css. Back end :Node.js , Express and Mongo DB.","```python
front_end = [""React.js"", ""Redux"", ""HTML"", ""JavaScript"", ""CSS""]
back_end = [""Node.js"", ""Express"", ""MongoDB""]

skills = front_end + back_end
```","['react.js', 'redux', 'html', 'javascript', 'css']",8 months experience in 3 Full stack projects,1.06
